,id,time,CurX,CurY,CurV,CurRoll,CurPitch,CurAccX,CurAccY,CurAccZ,CurGyroX,CurGyroY,CurGyroZ,Pitch,Roll,abnormal_label
35,36,2023-11-8 13:03,17.1679,1.82013,-0.002199,0.733559,-1.66177,-0.010986,0.002929,0.996826,0.411999,0.312814,0.083925,-1.66177,0.733559,0
36,37,2023-11-8 13:03,17.1679,1.82013,-0.002748,0.730696,-1.62387,-0.016845,0.002929,0.992065,0.39674,0.328073,0.106814,-1.62387,0.730696,0
37,38,2023-11-8 13:03,17.1679,1.82013,-0.003298,0.734797,-1.58687,3.4873539,3.4928957,4.496984167,0.381481,0.335703,0.099185,-3.749139,2.1786731,2
38,39,2023-11-8 13:03,17.1678,1.82013,-0.003848,0.736112,-1.54755,3.24597459,3.25151639,4.255604856,0.350962,0.366222,0.053407,-3.634222862,2.111893848,2
39,40,2023-11-8 13:03,17.1678,1.82013,-0.004948,0.736346,-1.51113,3.004595279,3.010137079,4.014225546,0.312814,0.39674,0.015259,-3.519306724,2.045114596,2
40,41,2023-11-8 13:03,17.1677,1.82013,-0.005497,0.733053,-1.47743,2.763215969,2.768757769,3.772846236,0.282296,0.419629,-0.007629,-3.404390586,1.978335344,2
41,42,2023-11-8 13:03,17.1677,1.82013,-0.006047,0.733291,-1.44406,2.521836659,2.527378459,3.531466925,0.274666,0.427259,-0.015259,-3.289474448,1.911556092,2
42,43,2023-11-8 13:03,17.1676,1.82013,-0.007696,0.734309,-1.41173,2.280457348,2.285999148,3.290087615,0.320444,0.419629,-0.015259,-3.17455831,1.844776839,2
43,44,2023-11-8 13:03,17.1675,1.82013,-0.008246,0.730516,-1.381,2.039078038,2.044619838,3.048708305,0.350962,0.40437,0.007629,-3.059642172,1.777997587,2
44,45,2023-11-8 13:03,17.1674,1.82013,-0.009346,0.726619,-1.35038,1.797698728,1.803240528,2.807328994,0.358592,0.38911,0.038148,-2.944726034,1.711218335,2
45,46,2023-11-8 13:03,17.1673,1.82013,-0.010445,0.724689,-1.32362,1.556319417,1.561861217,2.565949684,0.328073,0.366222,0.083925,-2.829809897,1.644439083,2
46,47,2023-11-8 13:03,17.1672,1.82013,-0.010995,0.723256,-1.30152,1.314940107,1.320481907,2.324570374,0.335703,0.328073,0.099185,-2.714893759,1.577659831,2
47,48,2023-11-8 13:03,17.1671,1.82013,-0.011545,0.726624,-1.27911,1.073560797,1.079102597,2.083191063,0.411999,0.297555,0.083925,-2.599977621,1.510880579,2
48,49,2023-11-8 13:03,17.1669,1.82013,-0.012644,0.726731,-1.25825,0.832181486,0.837723286,1.841811753,0.511185,0.274666,0.053407,-2.485061483,1.444101327,2
49,50,2023-11-8 13:03,17.1668,1.82013,-0.013194,0.72512,-1.2384,0.590802176,0.596343976,1.600432443,0.534073,0.274666,0.030518,-2.370145345,1.377322075,2
